step,random_ppo,greedy_ppo,ppo,random_a3c,greedy_a3c,a3c,random_dqn,greedy_dqn,dqn
20,91.11,135.07,65.78,123.46,233.1,90,108.47,186.86,111.07
40,187.28,317.46,101.97,200.87,297.15,207.38,239.22,289.25,232.51
60,264.2,506.68,185.35,335.36,497.53,301.68,279.4,407.87,294.35
80,414.19,609.11,194.14,416.55,512.22,313.01,360.39,575.01,356.71
100,475.02,760.4,271.62,491.43,749.02,471.5,542.08,758.38,501.5
120,619.69,1019.43,337.7,678.99,974.7,506.9,634.01,951.16,522.73
140,759.94,1048.98,332.54,877.06,1073.95,565.58,804.63,1068.72,707.49
160,761.13,1256.98,435.57,866.66,1216.94,682.61,807.66,1282.6,775.19
180,862.8,1313.25,459.17,901.52,1389.99,804.78,924.02,1392.33,863.04
200,1087.17,1382.07,523.18,1060.46,1532.94,849.5,1068.28,1522.36,972.38
